,GSM2356843,GSM2356844,GSM2356845,GSM2356849,GSM2356850,GSM2356851,GSM2356855,GSM2356856,GSM2356857,GSM2356846,GSM2356847,GSM2356848,GSM2356852,GSM2356853,GSM2356854,GSM2356858,GSM2356859
ARPP21,12.05084118,12.15254706,12.02619412,11.99836471,11.98964706,12.03687059,11.87337647,11.90311765,12.03144118,11.93411176,11.89111765,11.90311765,11.90731765,11.98739412,11.90731765,11.82717059,11.78780588
ARR3,10.16064118,10.19941176,10.18685294,10.13971765,10.14917647,10.07250882,10.15982941,10.19724118,10.51564706,10.35545294,10.29797647,10.34251765,10.14145882,10.37258824,10.08412353,10.37306471,10.39717059
ARRB1,9.581801176,9.529091765,9.665796471,9.627560294,9.672915882,9.609967647,9.734917059,9.623431176,9.828932941,9.545735294,9.476418824,9.4065,9.313084706,9.354159412,9.54667,9.220684706,9.456835294
ARRB2,10.59247647,10.71648824,10.69749412,10.65802941,10.56246471,10.5439,10.50794118,10.55902941,10.78297647,10.61111765,10.56627059,10.57498235,10.58918824,10.77300588,10.58035882,10.54646471,10.39814118
ARRDC1,8.414281765,8.528886765,8.455831176,8.338544706,8.357351176,8.379161765,8.248201176,8.362489412,8.604823529,8.415456471,8.214180588,8.229731176,8.324226471,8.475655882,8.235118235,8.822172941,8.589005294
ARRDC4,8.234647647,8.367219412,8.407944706,8.426039412,8.384415294,8.523505294,8.419467059,8.404884118,8.589295294,9.586812353,9.557400588,9.538315294,9.725270588,9.738872353,9.603555294,9.217907059,9.114897647
ARSA,8.921598824,8.79527,8.731715294,8.908467059,9.074089412,9.024044118,9.013196471,8.952060588,8.745751765,9.329351765,9.2946,9.082387059,9.523500588,9.689855882,9.572704118,9.174090588,9.040841176
ARSG,3.177607647,3.378703529,3.342119412,3.187858824,3.446622941,3.157223235,3.226735882,3.224228235,3.515438824,3.781166471,3.807433529,3.494561765,3.713151176,4.310965294,4.042918824,5.099762353,4.186220588
ARSI,8.950539412,8.837514706,8.732196471,8.619039412,8.767500588,8.74493,8.927205294,8.822980588,8.506430588,8.605021176,8.669774118,8.773668824,8.403195882,8.30277,8.489708824,8.895214118,8.895706471
ART1,8.036137647,8.177424118,8.227402941,8.10646,8.053634706,8.104312353,8.071249118,8.07847,7.737634118,7.821975882,7.730381765,7.917076471,7.42442,7.378770588,7.422131765,7.814256471,7.650692941
ART3,8.10602,8.013256471,7.928228235,8.251668824,8.267271765,8.095318824,8.021765588,7.925001176,8.015677353,7.809884118,7.803757647,7.878397059,8.116794706,8.215372941,8.283250588,7.924613529,8.12402
ART4,6.094321765,5.797412941,6.748151765,5.736930294,5.683626471,5.750137059,5.552820588,5.820735882,5.882313529,5.571334118,5.508120588,5.829187059,5.55738,5.744127647,5.654264118,5.430196471,5.56152
ART5,7.985723529,7.991792941,8.037836471,8.273386471,8.228938529,8.293957059,8.051642353,8.108388824,8.247091176,8.071161765,8.192002353,8.117424706,8.030815882,7.992729412,7.963278235,8.442867647,8.408527059
ARTN,7.601035882,7.169760588,7.419804706,7.487682941,6.873535882,6.913062941,6.818948824,7.005489412,6.871692941,7.314349412,8.043110588,7.640181471,7.588840588,7.203469412,7.355510588,6.855532647,7.315909412
ARVCF,5.954663529,6.105033824,5.993060588,5.695126471,5.925357647,5.711525294,5.701036471,5.656764706,5.971371765,6.116376765,5.978245882,5.879719412,5.924987647,6.169598824,6.110175882,6.170975294,5.895425294
ARX,6.807377059,6.78734,6.860345882,6.918879412,6.947458235,6.898902941,6.670019412,6.818026471,6.786020588,6.840401765,6.628478824,6.853110588,6.810178824,6.958492941,6.875561176,6.897394706,6.907681176
